pair_id,noise_level,coherence
0,0.0009286849739211196,0.9999999999999998
1,0.0010075052697798128,0.9999999999999998
2,0.0009145089432369493,0.9999999999999998
3,0.0009197676811378315,0.9999999999999998
4,0.0010435605553541318,0.9999999999999998
5,0.001029954821107546,0.9999999999999998
6,0.0009036023131160338,0.9999999999999998
7,0.0010267160762893067,0.9999999999999998
8,0.0009792119489357447,0.9999999999999998
9,0.0010736760549456058,0.9999999999999998
10,0.001036740247520343,0.9999999999999998
11,0.000903729219271263,0.9999999999999998
12,0.0009805331802656444,0.9999999999999998
13,0.0009492828432557241,0.9999999999999998
14,0.0010836863515498517,0.9999999999999998
15,0.0010838077477537832,0.9999999999999998
16,0.0009154976915616189,0.9999999999999998
17,0.0010893376686373015,0.9999999999999998
18,0.0010766467174756788,0.9999999999999998
19,0.001082592765484555,0.9999999999999998
20,0.001006489451176495,0.9999999999999998
21,0.0010380150502484955,0.9999999999999998
22,0.0010890196475509628,0.9999999999999998
23,0.0010541077377980686,0.9999999999999998
24,0.0009871820196929728,0.9999999999999998
25,0.001024920542900913,0.9999999999999998
26,0.001024306410363486,0.9999999999999998
27,0.001002694510126681,0.9999999999999998
28,0.001003712544602871,0.9999999999999998
29,0.0010362697393369769,0.9999999999999998
30,0.000942432857623642,0.9999999999999998
31,0.0010069618903341528,0.9999999999999998
32,0.0009762195914674994,0.9999999999999998
33,0.0009182406811721826,0.9999999999999998
34,0.0010816141753395563,0.9999999999999998
35,0.0009658997133082733,0.9999999999999998
36,0.0009364421715969894,0.9999999999999998
37,0.000922177763801738,0.9999999999999998
38,0.0009532165005460701,0.9999999999999998
39,0.0010643426395990853,0.9999999999999998
40,0.001092598513328751,0.9999999999999998
41,0.001062018916303611,0.9999999999999998
42,0.0010531409202309014,0.9999999999999998
43,0.0009430565399582623,0.9999999999999998
44,0.0010495660684265884,0.9999999999999998
45,0.0009236561056553983,0.9999999999999998
46,0.0010226559785789233,0.9999999999999998
47,0.00097752686270099,0.9999999999999998
48,0.0009122013221991912,0.9999999999999998
49,0.0010758548857907806,0.9999999999999998
50,0.001048897266568726,0.9999999999999998
51,0.0010995870014665766,0.9999999999999998
52,0.0009648111348181089,0.9999999999999998
53,0.0009187818697553716,0.9999999999999998
54,0.0010153913120321996,0.9999999999999998
55,0.0009915487781471293,0.9999999999999998
56,0.0010092632297416962,0.9999999999999998
57,0.0010861776313292645,0.9999999999999998
58,0.0009233649440477844,0.9999999999999998
59,0.0009386774522093009,0.9999999999999998
60,0.001047043456469119,0.9999999999999998
61,0.0010930347654405936,0.9999999999999998
62,0.0009857569224363612,0.9999999999999998
63,0.000906387816435802,0.9999999999999998
64,0.0010931988009767162,0.9999999999999998
65,0.001056366421169256,0.9999999999999998
66,0.0010717383518969597,0.9999999999999998
67,0.0010452881626058967,0.9999999999999998
68,0.001020258954556948,0.9999999999999998
69,0.0009234211875522707,0.9999999999999998
70,0.0009210739782787983,0.9999999999999998
71,0.0009654316806010566,0.9999999999999998
72,0.0009123461472355912,0.9999999999999998
73,0.0010846933133683765,0.9999999999999998
74,0.0009602918281693807,0.9999999999999998
75,0.0009365896807936194,0.9999999999999998
76,0.0010317779943491616,0.9999999999999998
77,0.0010271600347994288,0.9999999999999998
78,0.001072121747700713,0.9999999999999998
79,0.001074868436239205,0.9999999999999998
80,0.0010672097778267732,0.9999999999999998
81,0.0010285248799623626,0.9999999999999998
